address,orderly_point,allocation_percentage,vanta_points,special_points,remark
0x310f3030e7cc99d9093c5fcd7e8a7fe4cc92b9d9,75135.99552534,50,60605.5128033,,
0x87cfe4808125336da4229f6083c35d5172e66511,48672.00614649,20,39259.37057264,,
0x709fcd79d0b295ee9517d26ab4adaae80b6a8143,119.774669,20,96.61155329,,
0x24c7066f15fc74459a86ae6cdb72d15848979f09,44.1053025,5,35.57581764,,
0x92d6257c8ff5e9b3d37317f708d774ebd7b657cc,3.6315566,5,2.92925313,,
0x1111111111111111111111111111111111111111,0,0,0,500,top performer
0x2222222222222222222222222222222222222222,0,0,0,0,
0x3333333333333333333333333333333333333333,0,0,0,100,manual bonus
0xFde4955aA40C7d606A52345396F9c3bFD5924dD6,0,0,0,10000,manual bonus
